2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Total, all occupations",00-0000,Summary,153533.8,165413.7,11879.9,7.7,6.0,18474.4,"$45,760",—,—,—
Management occupations,11-0000,Summary,9782.3,10689.1,906.8,9.3,13.1,904.4,"$102,450",—,—,—
Top executives,11-1000,Summary,2756.6,2970.0,213.5,7.7,3.2,251.4,"$98,720",—,—,—
Chief executives,11-1011,Line item,292.5,275.7,-16.8,-5.7,25.0,17.5,"$179,520",Bachelor's degree,5 years or more,None
General and operations managers,11-1021,Line item,2411.9,2638.2,226.3,9.4,0.7,229.6,"$97,970",Bachelor's degree,5 years or more,None
Legislators,11-1031,Line item,52.2,56.1,4.0,7.6,—,4.3,"$37,270",Bachelor's degree,Less than 5 years,None
"Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,803.8,874.7,71.0,8.8,2.6,77.0,"$128,160",—,—,—
Advertising and promotions managers,11-2011,Line item,23.2,25.6,2.4,10.3,2.9,2.5,"$127,150",Bachelor's degree,Less than 5 years,None
Marketing and sales managers,11-2020,Summary,691.6,748.9,57.3,8.3,2.9,65.5,"$129,330",—,—,—
Marketing managers,11-2021,Line item,293.7,323.1,29.4,10.0,6.0,28.5,"$135,030",Bachelor's degree,5 years or more,None
Sales managers,11-2022,Line item,397.9,425.8,27.9,7.0,0.7,37.0,"$127,490",Bachelor's degree,Less than 5 years,None
Public relations and fundraising managers,11-2030,Line item,89.0,100.3,11.3,12.6,—,8.9,"$119,860",Bachelor's degree,5 years or more,None
Operations specialties managers,11-3000,Summary,2109.4,2354.8,245.4,11.6,1.7,188.4,"$127,140",—,—,—
Administrative services and facilities managers,11-3010,Line item,322.0,350.5,28.6,8.9,0.2,29.2,"$99,290",Bachelor's degree,Less than 5 years,None
Computer and information systems managers,11-3021,Line item,482.0,534.6,52.7,10.9,2.2,42.4,"$159,010",Bachelor's degree,5 years or more,None
Financial managers,11-3031,Line item,681.7,799.9,118.2,17.3,0.8,64.2,"$131,710",Bachelor's degree,5 years or more,None
Industrial production managers,11-3051,Line item,189.3,199.3,10.0,5.3,4.4,13.9,"$103,150",Bachelor's degree,5 years or more,None
Purchasing managers,11-3061,Line item,74.4,79.0,4.6,6.1,1.7,6.3,"$127,150",Bachelor's degree,5 years or more,None
"Transportation, storage, and distribution managers",11-3071,Line item,137.6,149.0,11.4,8.3,3.6,11.8,"$98,230",High school diploma or equivalent,5 years or more,None
Compensation and benefits managers,11-3111,Line item,18.7,19.4,0.7,4.0,9.7,1.5,"$127,530",Bachelor's degree,5 years or more,None
Human resources managers,11-3121,Line item,161.7,176.5,14.8,9.2,0.6,14.8,"$126,230",Bachelor's degree,5 years or more,None
Training and development managers,11-3131,Line item,42.1,46.6,4.5,10.7,3.9,4.3,"$120,130",Bachelor's degree,5 years or more,None
Other management occupations,11-9000,Summary,4112.5,4489.5,377.0,9.2,27.5,387.5,"$97,630",—,—,—
"Farmers, ranchers, and other agricultural managers",11-9013,Line item,888.3,882.6,-5.8,-0.7,65.6,84.8,"$73,060",High school diploma or equivalent,5 years or more,None
Construction managers,11-9021,Line item,448.0,499.4,51.4,11.5,36.2,38.9,"$98,890",Bachelor's degree,None,Moderate-term on-the-job training
Education and childcare administrators,11-9030,Summary,560.3,608.2,47.9,8.5,3.7,46.4,"$95,010",—,—,—
"Education and childcare administrators, preschool and daycare",11-9031,Line item,60.8,67.7,6.9,11.4,8.5,5.3,"$47,310",Bachelor's degree,Less than 5 years,None
"Education administrators, kindergarten through secondary",11-9032,Line item,270.2,291.3,21.2,7.8,2.0,22.1,"$98,420",Master's degree,5 years or more,None
"Education administrators, postsecondary",11-9033,Line item,178.8,192.2,13.4,7.5,4.2,14.5,"$96,910",Master's degree,Less than 5 years,None
"Education administrators, all other",11-9039,Line item,50.5,56.9,6.4,12.6,5.9,4.5,"$90,560",Bachelor's degree,Less than 5 years,None
Architectural and engineering managers,11-9041,Line item,197.8,205.9,8.1,4.1,—,14.7,"$152,350",Bachelor's degree,5 years or more,None
Food service managers,11-9051,Line item,309.8,355.9,46.2,14.9,35.3,41.4,"$59,440",High school diploma or equivalent,Less than 5 years,None
Gambling managers,11-9071,Line item,3.9,4.7,0.8,20.1,11.0,0.4,"$76,910",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,Line item,48.1,52.2,4.2,8.7,33.7,5.8,"$59,430",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,429.8,569.4,139.6,32.5,3.5,51.8,"$101,340",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,79.0,83.5,4.5,5.8,—,6.0,"$137,900",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,13.2,12.2,-1.0,-7.7,—,0.8,"$80,250",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,364.1,375.5,11.4,3.1,36.6,29.1,"$59,230",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,174.2,200.7,26.4,15.2,5.3,18.3,"$74,000",Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.5,11.1,0.7,6.2,—,1.0,"$76,730",Bachelor's degree,5 years or more,None
Funeral home managers,11-9171,Line item,12.5,12.9,0.4,3.2,18.9,1.0,"$74,000",Associate's degree,Less than 5 years,None
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,573.0,615.3,42.2,7.4,13.7,47.1,—,Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,9422.5,10173.3,750.8,8.0,7.1,901.7,"$76,570",—,—,—
Business operations specialists,13-1000,Summary,6368.4,6960.4,592.1,9.3,7.6,630.4,"$76,040",—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,18.7,27.3,8.6,46.3,31.5,3.4,"$78,410",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,439.0,415.4,-23.6,-5.4,2.6,39.5,"$63,470",Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,349.4,340.5,-9.0,-2.6,1.9,25.2,"$64,710",—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,333.8,324.7,-9.1,-2.7,1.9,24.0,"$65,080",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,15.6,15.7,0.1,0.6,2.3,1.2,"$62,680",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,348.7,370.3,21.6,6.2,0.8,30.0,"$71,650",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,199.4,200.6,1.2,0.6,0.2,17.8,"$65,170",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,748.6,815.6,67.1,9.0,1.8,79.9,"$62,490",—,—,—
Human resources specialists,13-1071,Line item,674.8,745.1,70.2,10.4,1.8,73.4,"$62,290",Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,0.2,0.3,0.0,10.6,—,0.0,"$47,770",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,73.5,70.3,-3.2,-4.3,2.0,6.4,"$77,010",Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,191.0,247.3,56.4,29.5,1.6,24.5,"$77,030",Bachelor's degree,None,None
Management analysts,13-1111,Line item,907.6,1032.0,124.4,13.7,15.8,99.4,"$93,000",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,125.9,148.0,22.1,17.5,3.7,16.4,"$49,470",Bachelor's degree,None,None
Fundraisers,13-1131,Line item,101.3,117.5,16.1,15.9,2.0,12.0,"$60,660",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,91.9,100.7,8.8,9.6,0.3,9.4,"$64,120",Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,328.7,364.2,35.5,10.8,0.3,35.2,"$61,570",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,740.9,904.5,163.6,22.1,4.4,96.0,"$63,920",Bachelor's degree,None,None
"Project management specialists and business operations specialists, all other",13-1198,Line item,1777.3,1876.5,99.2,5.6,14.4,141.9,—,Bachelor's degree,None,None
Financial specialists,13-2000,Summary,3054.1,3212.8,158.7,5.2,6.2,271.3,"$77,300",—,—,—
Accountants and auditors,13-2011,Line item,1392.2,1488.2,96.0,6.9,4.7,135.0,"$77,250",Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,78.7,82.1,3.4,4.4,27.3,6.3,"$61,340",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,52.5,55.0,2.5,4.8,—,4.3,"$79,940",Bachelor's degree,None,None
Credit analysts,13-2041,Line item,73.0,68.8,-4.3,-5.8,0.1,5.5,"$77,440",Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,275.2,287.8,12.6,4.6,19.9,21.5,"$94,170",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,119.4,117.2,-2.2,-1.8,0.8,8.3,"$76,390",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,70.8,83.5,12.7,17.9,0.5,6.9,"$81,410",Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,355.9,363.2,7.3,2.1,2.1,28.0,"$62,030",—,—,—
Credit counselors,13-2071,Line item,33.8,36.9,3.0,9.0,1.7,3.0,"$47,580",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,322.1,326.4,4.3,1.3,2.1,25.0,"$63,380",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,144.3,143.6,-0.7,-0.5,16.5,14.3,"$48,900",—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,56.9,54.8,-2.1,-3.7,—,4.4,"$56,780",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,87.4,88.8,1.4,1.6,27.3,9.8,"$46,290",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,492.1,523.4,31.3,6.4,2.9,41.0,"$81,410",Bachelor's degree,None,None
Computer and mathematical occupations,15-0000,Summary,5225.0,5959.9,734.9,14.1,9.7,466.4,"$97,540",—,—,—
