2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Construction managers,11-9021,Line item,448.0,499.4,51.4,11.5,36.2,38.9,98890,Bachelor's degree,None,Moderate-term on-the-job training
Buyers and purchasing agents,13-1020,Line item,439.0,415.4,-23.6,-5.4,2.6,39.5,63470,Bachelor's degree,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,348.7,370.3,21.6,6.2,0.8,30.0,71650,Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,199.4,200.6,1.2,0.6,0.2,17.8,65170,Bachelor's degree,None,Moderate-term on-the-job training
Human resources specialists,13-1071,Line item,674.8,745.1,70.2,10.4,1.8,73.4,62290,Bachelor's degree,None,None
Logisticians,13-1081,Line item,191.0,247.3,56.4,29.5,1.6,24.5,77030,Bachelor's degree,None,None
Fundraisers,13-1131,Line item,101.3,117.5,16.1,15.9,2.0,12.0,60660,Bachelor's degree,None,None
Market research analysts and marketing specialists,13-1161,Line item,740.9,904.5,163.6,22.1,4.4,96.0,63920,Bachelor's degree,None,None
Accountants and auditors,13-2011,Line item,1392.2,1488.2,96.0,6.9,4.7,135.0,77250,Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,78.7,82.1,3.4,4.4,27.3,6.3,61340,Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,52.5,55.0,2.5,4.8,,4.3,79940,Bachelor's degree,None,None
Credit analysts,13-2041,Line item,73.0,68.8,-4.3,-5.8,0.1,5.5,77440,Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,275.2,287.8,12.6,4.6,19.9,21.5,94170,Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,119.4,117.2,-2.2,-1.8,0.8,8.3,76390,Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,70.8,83.5,12.7,17.9,0.5,6.9,81410,Bachelor's degree,None,Long-term on-the-job training
"Tax examiners and collectors, and revenue agents",13-2081,Line item,56.9,54.8,-2.1,-3.7,,4.4,56780,Bachelor's degree,None,Moderate-term on-the-job training
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,492.1,523.4,31.3,6.4,2.9,41.0,81410,Bachelor's degree,None,None
Computer systems analysts,15-1211,Line item,607.8,650.6,42.8,7.0,2.9,47.5,99270,Bachelor's degree,None,None
Network and computer systems administrators,15-1244,Line item,350.3,369.1,18.8,5.4,0.4,24.9,80600,Bachelor's degree,None,None
Computer programmers,15-1251,Line item,185.7,167.3,-18.3,-9.9,2.2,9.7,93000,Bachelor's degree,None,None
Actuaries,15-2011,Line item,27.7,34.5,6.8,24.5,2.0,2.4,105900,Bachelor's degree,None,Long-term on-the-job training
Operations research analysts,15-2031,Line item,104.1,129.7,25.6,24.6,0.3,10.2,82360,Bachelor's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,63.2,83.0,19.8,31.4,2.8,7.1,100480,Bachelor's degree,None,None
"Architects, except landscape and naval",17-1011,Line item,126.7,130.7,3.9,3.1,16.8,9.4,80180,Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,23.7,23.6,-0.1,-0.3,12.7,1.6,67950,Bachelor's degree,None,Internship/residency
Cartographers and photogrammetrists,17-1021,Line item,13.2,13.9,0.7,5.4,3.0,1.2,68900,Bachelor's degree,None,None
Surveyors,17-1022,Line item,46.0,46.7,0.7,1.6,4.6,4.0,61600,Bachelor's degree,None,Internship/residency
Aerospace engineers,17-2011,Line item,61.4,66.5,5.1,8.3,,4.0,122270,Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.5,1.5,0.1,4.5,,0.1,82640,Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,19.3,20.5,1.1,5.9,,1.4,97410,Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,26.3,28.7,2.4,9.3,1.0,1.8,105550,Bachelor's degree,None,None
Civil engineers,17-2051,Line item,309.8,335.1,25.3,8.2,1.4,25.0,88050,Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,66.2,67.3,1.0,1.5,1.2,4.5,128170,Bachelor's degree,None,None
Electrical engineers,17-2071,Line item,188.0,200.7,12.7,6.8,0.8,13.7,100420,Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,125.2,132.9,7.7,6.2,0.7,9.0,104820,Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,52.3,54.3,1.9,3.7,2.3,4.0,96820,Bachelor's degree,None,None
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,24.1,25.6,1.5,6.1,,1.7,99040,Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,292.0,332.0,40.0,13.7,0.1,23.3,95300,Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,9.8,10.2,0.4,3.9,3.7,0.5,93370,Bachelor's degree,None,None
Materials engineers,17-2131,Line item,25.1,27.2,2.1,8.4,,1.8,98300,Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,299.2,320.1,20.9,7.0,0.8,20.2,95300,Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.3,6.6,0.2,3.9,,0.4,97090,Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,17.2,15.8,-1.5,-8.4,6.3,0.9,120380,Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,28.5,30.7,2.2,7.6,0.3,2.1,130850,Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,167.1,171.6,4.4,2.7,5.9,11.0,100640,Bachelor's degree,None,None
Animal scientists,19-1011,Line item,3.5,3.9,0.3,9.7,5.3,0.4,65090,Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,15.0,16.1,1.0,6.7,8.6,1.7,78340,Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,18.8,20.7,1.9,10.0,5.1,2.3,66750,Bachelor's degree,None,None
Microbiologists,19-1022,Line item,21.4,22.4,1.0,4.6,4.3,2.0,79260,Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,18.5,19.5,1.0,5.2,1.4,1.7,64650,Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,46.2,47.9,1.7,3.7,2.8,4.2,82530,Bachelor's degree,None,None
Conservation scientists,19-1031,Line item,25.3,26.8,1.5,6.1,7.1,2.5,63750,Bachelor's degree,None,None
Foresters,19-1032,Line item,13.7,15.1,1.4,10.0,10.5,1.4,64110,Bachelor's degree,None,None
"Life scientists, all other",19-1099,Line item,7.0,7.6,0.6,8.4,,0.6,81500,Bachelor's degree,None,None
Atmospheric and space scientists,19-2021,Line item,10.7,11.6,0.9,8.3,,1.0,94570,Bachelor's degree,None,None
Chemists,19-2031,Line item,85.4,91.1,5.7,6.7,0.3,8.4,79430,Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.1,7.3,0.3,3.9,,0.7,100090,Bachelor's degree,None,None
"Environmental scientists and specialists, including health",19-2041,Line item,87.1,94.4,7.3,8.4,0.2,9.4,76530,Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,29.0,31.0,2.0,7.0,0.8,3.1,83680,Bachelor's degree,None,None
Hydrologists,19-2043,Line item,6.5,6.9,0.4,5.6,,0.7,84030,Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,23.9,24.2,0.2,1.0,11.2,1.8,104100,Bachelor's degree,None,None
Geographers,19-3092,Line item,1.6,1.7,0.0,1.1,,0.1,85220,Bachelor's degree,None,None
